stage,run_id,control_mode,target_vx,perturbation_id,perturbation_type,perturb_vx,perturb_vy,perturb_yawrate,expected_stability,returncode,summary_exists,log_exists,mode_executed,stability_pass,evidence_generated,regression_evidence_pass,mean_vx,mean_abs_velocity_error,max_abs_velocity_error,qp_fail_steps,saturation_steps,max_abs_roll,max_abs_pitch,min_z,max_tau_total_abs,transition_count_summary,transition_count_log,near_transition_window_steps,near_transition_row_count,max_tau_total_abs_near_transition,max_tau_step_jump_abs_near_transition,max_tau_step_jump_norm_near_transition,max_abs_roll_near_transition,max_abs_pitch_near_transition,min_z_near_transition,saturation_steps_near_transition,runner_summary_csv,runner_log_csv,stdout_tail,stderr_tail,command
27.1,stage27_1_base_vx0p00_nominal,baseline,0.000,stage27_1_nominal_vx0p00,none,0.000000,0.000000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.131769486679,0.304121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p00_stage27_1_base_vx0p00_nominal_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p00_stage27_1_base_vx0p00_nominal_baseline_log.csv,s=0.000000000000\nmax_tau_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p00_stage27_1_base_vx0p00_nominal_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p00_stage27_1_base_vx0p00_nominal_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.000 --scale-tag stage27_1_base_vx0p00_nominal --run-id stage27_1_base_vx0p00_nominal --perturbation-id stage27_1_nominal_vx0p00 --perturbation-type none --perturb-vx 0.000000 --perturb-vy 0.000000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p00_nominal.csv --trace-steps 24
27.1,stage27_1_base_vx0p00_vx_plus_0p05,baseline,0.000,stage27_1_vx_plus_0p05_vx0p00,initial_qvel,0.050000,0.000000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.131769486679,0.304121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_plus_0p05_vx0p00_stage27_1_base_vx0p00_vx_plus_0p05_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_plus_0p05_vx0p00_stage27_1_base_vx0p00_vx_plus_0p05_baseline_log.csv,_tau_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_plus_0p05_vx0p00_stage27_1_base_vx0p00_vx_plus_0p05_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_plus_0p05_vx0p00_stage27_1_base_vx0p00_vx_plus_0p05_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.000 --scale-tag stage27_1_base_vx0p00_vx_plus_0p05 --run-id stage27_1_base_vx0p00_vx_plus_0p05 --perturbation-id stage27_1_vx_plus_0p05_vx0p00 --perturbation-type initial_qvel --perturb-vx 0.050000 --perturb-vy 0.000000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p00_vx_plus_0p05.csv --trace-steps 24
27.1,stage27_1_base_vx0p00_vx_minus_0p05,baseline,0.000,stage27_1_vx_minus_0p05_vx0p00,initial_qvel,-0.050000,0.000000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.131769486679,0.304121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_minus_0p05_vx0p00_stage27_1_base_vx0p00_vx_minus_0p05_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_minus_0p05_vx0p00_stage27_1_base_vx0p00_vx_minus_0p05_baseline_log.csv,_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_minus_0p05_vx0p00_stage27_1_base_vx0p00_vx_minus_0p05_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_minus_0p05_vx0p00_stage27_1_base_vx0p00_vx_minus_0p05_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.000 --scale-tag stage27_1_base_vx0p00_vx_minus_0p05 --run-id stage27_1_base_vx0p00_vx_minus_0p05 --perturbation-id stage27_1_vx_minus_0p05_vx0p00 --perturbation-type initial_qvel --perturb-vx -0.050000 --perturb-vy 0.000000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p00_vx_minus_0p05.csv --trace-steps 24
27.1,stage27_1_base_vx0p00_vy_plus_0p03,baseline,0.000,stage27_1_vy_plus_0p03_vx0p00,initial_qvel,0.000000,0.030000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.131769486679,0.304121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vy_plus_0p03_vx0p00_stage27_1_base_vx0p00_vy_plus_0p03_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vy_plus_0p03_vx0p00_stage27_1_base_vx0p00_vy_plus_0p03_baseline_log.csv,_tau_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vy_plus_0p03_vx0p00_stage27_1_base_vx0p00_vy_plus_0p03_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vy_plus_0p03_vx0p00_stage27_1_base_vx0p00_vy_plus_0p03_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.000 --scale-tag stage27_1_base_vx0p00_vy_plus_0p03 --run-id stage27_1_base_vx0p00_vy_plus_0p03 --perturbation-id stage27_1_vy_plus_0p03_vx0p00 --perturbation-type initial_qvel --perturb-vx 0.000000 --perturb-vy 0.030000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p00_vy_plus_0p03.csv --trace-steps 24
27.1,stage27_1_base_vx0p00_yaw_plus_0p10,baseline,0.000,stage27_1_yaw_plus_0p10_vx0p00,initial_qvel,0.000000,0.000000,0.100000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.131769486679,0.304121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_yaw_plus_0p10_vx0p00_stage27_1_base_vx0p00_yaw_plus_0p10_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_yaw_plus_0p10_vx0p00_stage27_1_base_vx0p00_yaw_plus_0p10_baseline_log.csv,_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_yaw_plus_0p10_vx0p00_stage27_1_base_vx0p00_yaw_plus_0p10_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_yaw_plus_0p10_vx0p00_stage27_1_base_vx0p00_yaw_plus_0p10_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.000 --scale-tag stage27_1_base_vx0p00_yaw_plus_0p10 --run-id stage27_1_base_vx0p00_yaw_plus_0p10 --perturbation-id stage27_1_yaw_plus_0p10_vx0p00 --perturbation-type initial_qvel --perturb-vx 0.000000 --perturb-vy 0.000000 --perturb-yawrate 0.100000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p00_yaw_plus_0p10.csv --trace-steps 24
27.1,stage27_1_base_vx0p10_nominal,baseline,0.100,stage27_1_nominal_vx0p10,none,0.000000,0.000000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.056509674478,0.204121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p10_stage27_1_base_vx0p10_nominal_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p10_stage27_1_base_vx0p10_nominal_baseline_log.csv,s=0.000000000000\nmax_tau_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p10_stage27_1_base_vx0p10_nominal_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p10_stage27_1_base_vx0p10_nominal_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.100 --scale-tag stage27_1_base_vx0p10_nominal --run-id stage27_1_base_vx0p10_nominal --perturbation-id stage27_1_nominal_vx0p10 --perturbation-type none --perturb-vx 0.000000 --perturb-vy 0.000000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p10_nominal.csv --trace-steps 24
27.1,stage27_1_base_vx0p10_vx_plus_0p05,baseline,0.100,stage27_1_vx_plus_0p05_vx0p10,initial_qvel,0.050000,0.000000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.056509674478,0.204121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_plus_0p05_vx0p10_stage27_1_base_vx0p10_vx_plus_0p05_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_plus_0p05_vx0p10_stage27_1_base_vx0p10_vx_plus_0p05_baseline_log.csv,_tau_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_plus_0p05_vx0p10_stage27_1_base_vx0p10_vx_plus_0p05_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_plus_0p05_vx0p10_stage27_1_base_vx0p10_vx_plus_0p05_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.100 --scale-tag stage27_1_base_vx0p10_vx_plus_0p05 --run-id stage27_1_base_vx0p10_vx_plus_0p05 --perturbation-id stage27_1_vx_plus_0p05_vx0p10 --perturbation-type initial_qvel --perturb-vx 0.050000 --perturb-vy 0.000000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p10_vx_plus_0p05.csv --trace-steps 24
27.1,stage27_1_base_vx0p10_vx_minus_0p05,baseline,0.100,stage27_1_vx_minus_0p05_vx0p10,initial_qvel,-0.050000,0.000000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.056509674478,0.204121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_minus_0p05_vx0p10_stage27_1_base_vx0p10_vx_minus_0p05_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_minus_0p05_vx0p10_stage27_1_base_vx0p10_vx_minus_0p05_baseline_log.csv,_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_minus_0p05_vx0p10_stage27_1_base_vx0p10_vx_minus_0p05_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vx_minus_0p05_vx0p10_stage27_1_base_vx0p10_vx_minus_0p05_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.100 --scale-tag stage27_1_base_vx0p10_vx_minus_0p05 --run-id stage27_1_base_vx0p10_vx_minus_0p05 --perturbation-id stage27_1_vx_minus_0p05_vx0p10 --perturbation-type initial_qvel --perturb-vx -0.050000 --perturb-vy 0.000000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p10_vx_minus_0p05.csv --trace-steps 24
27.1,stage27_1_base_vx0p10_vy_plus_0p03,baseline,0.100,stage27_1_vy_plus_0p03_vx0p10,initial_qvel,0.000000,0.030000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.056509674478,0.204121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vy_plus_0p03_vx0p10_stage27_1_base_vx0p10_vy_plus_0p03_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vy_plus_0p03_vx0p10_stage27_1_base_vx0p10_vy_plus_0p03_baseline_log.csv,_tau_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vy_plus_0p03_vx0p10_stage27_1_base_vx0p10_vy_plus_0p03_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_vy_plus_0p03_vx0p10_stage27_1_base_vx0p10_vy_plus_0p03_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.100 --scale-tag stage27_1_base_vx0p10_vy_plus_0p03 --run-id stage27_1_base_vx0p10_vy_plus_0p03 --perturbation-id stage27_1_vy_plus_0p03_vx0p10 --perturbation-type initial_qvel --perturb-vx 0.000000 --perturb-vy 0.030000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p10_vy_plus_0p03.csv --trace-steps 24
27.1,stage27_1_base_vx0p10_yaw_plus_0p10,baseline,0.100,stage27_1_yaw_plus_0p10_vx0p10,initial_qvel,0.000000,0.000000,0.100000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.056509674478,0.204121016928,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_yaw_plus_0p10_vx0p10_stage27_1_base_vx0p10_yaw_plus_0p10_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_yaw_plus_0p10_vx0p10_stage27_1_base_vx0p10_yaw_plus_0p10_baseline_log.csv,_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_yaw_plus_0p10_vx0p10_stage27_1_base_vx0p10_yaw_plus_0p10_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_yaw_plus_0p10_vx0p10_stage27_1_base_vx0p10_yaw_plus_0p10_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.100 --scale-tag stage27_1_base_vx0p10_yaw_plus_0p10 --run-id stage27_1_base_vx0p10_yaw_plus_0p10 --perturbation-id stage27_1_yaw_plus_0p10_vx0p10 --perturbation-type initial_qvel --perturb-vx 0.000000 --perturb-vy 0.000000 --perturb-yawrate 0.100000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p10_yaw_plus_0p10.csv --trace-steps 24
27.1,stage27_1_base_vx0p20_nominal,baseline,0.200,stage27_1_nominal_vx0p20,none,0.000000,0.000000,0.000000,expected_stable,0,True,True,True,True,True,True,0.131362004021,0.078493657379,0.244199120268,0,0,0.056707402709,0.048329482530,0.274552192756,9.659563043535,11,11,10,231,9.659563043535,11.568156828496,25.541330122228,0.050114284928,0.035740043217,0.275845566400,0,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p20_stage27_1_base_vx0p20_nominal_baseline_summary.csv,results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p20_stage27_1_base_vx0p20_nominal_baseline_log.csv,s=0.000000000000\nmax_tau_candidate_scaled_abs=0.000000000000\nmax_tau_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_stabilized_primary_mpc_wbc_raw_abs=9.659563043535\nmax_tau_total_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p20_stage27_1_base_vx0p20_nominal_baseline_log.csv\nsaved_summary=results/logs_sample/stage25_5_stabilized_primary_mpc_wbc_rollout_stage27_1_nominal_vx0p20_stage27_1_base_vx0p20_nominal_baseline_summary.csv\n,,/usr/bin/python3 /home/zanshi/robot-mpc-wbc-locomotion/scripts/stage25_5_stabilized_primary_mpc_wbc_runner.py --control-mode baseline --mpc-assisted-candidate-scale 0.0 --target-vx 0.200 --scale-tag stage27_1_base_vx0p20_nominal --run-id stage27_1_base_vx0p20_nominal --perturbation-id stage27_1_nominal_vx0p20 --perturbation-type none --perturb-vx 0.000000 --perturb-vy 0.000000 --perturb-yawrate 0.000000 --trace-csv /home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage27_1_trace_stage27_1_base_vx0p20_nominal.csv --trace-steps 24
