trace_case_id,perturbation_id,perturbation_type,perturb_vx,perturb_vy,perturb_yawrate,scale,scale_tag,control_mode,phase,trace_step_index,time,dt_from_previous_trace,qpos_size,qvel_size,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,base_x,base_y,base_z,base_vx_fd,base_vy_fd,base_vz_fd
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,before_injection,-3,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,after_injection,-2,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,after_mj_forward,-1,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,after_mj_step,1,0.002,0.002,19,18,-5.496596292759743e-05,-3.9012537133450777e-07,0.2847829006923324,0.999999960422005,1.4368912251029139e-06,0.00027750279370451986,4.632627002735903e-05,-0.02748298146379871,-0.00019506268566725387,-0.011472895485299877,0.0014368912440593385,0.2775027973655213,0.046326270638526,-5.496596292759743e-05,-3.9012537133450777e-07,0.2847829006923324,-0.02748298146379871,-0.00019506268566725387,-80.10854965383379
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,after_mj_step,2,0.004,0.002,19,18,-0.00012057687401850872,-1.2397921743976483e-06,0.2846606600495792,0.9999997828721695,2.5346896934692718e-05,0.0005876076964557668,0.0002972042123242326,-0.03280545554545565,-0.00042483340153157026,-0.0611203213766178,0.023854752326835565,0.3101042008241513,0.2508841367759348,-0.00012057687401850872,-1.2397921743976483e-06,0.2846606600495792,-0.03280545554545565,-0.0004248334015315702,-0.0611203213766176
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,after_mj_step,3,0.006,0.002,19,18,-0.0002355966868996881,-2.8204516871172405e-06,0.28450043521458196,0.99999926981603,3.799121633250782e-05,0.0011140562777213518,0.00046669335141274104,-0.05750990644058969,-0.0007903297563597962,-0.08011241749861717,0.012701199917927638,0.5264493333654071,0.16948334947624347,-0.0002355966868996881,-2.8204516871172405e-06,0.28450043521458196,-0.05750990644058968,-0.0007903297563597961,-0.08011241749861231
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,after_mj_step,4,0.008,0.002,19,18,-0.00035681379459713867,2.5377559320941556e-06,0.284188191041845,0.9999984957397245,0.00038513195598731723,0.0015547828006712177,0.0006654638284846212,-0.060608553848725294,0.002679103809605698,-0.1561220863684827,0.3471247787217736,0.4405726327726317,0.1991406955305442,-0.00035681379459713867,2.5377559320941556e-06,0.284188191041845,-0.06060855384872529,0.002679103809605698,-0.15612208636847646
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,after_mj_step,5,0.01,0.002,19,18,-0.0005157731018355679,-2.0516752747656374e-05,0.2838778062729793,0.9999969957520558,-0.0003443098888638367,0.002256728618668375,0.0008928121328792104,-0.07947965361921464,-0.011527254339875264,-0.15519238443284253,-0.7293266584232877,0.7025201965470387,0.22594453572907988,-0.0005157731018355679,-2.0516752747656374e-05,0.2838778062729793,-0.07947965361921464,-0.011527254339875264,-0.1551923844328451
stage26_1_primary_vx0p00,stage26_nominal_vx0p00,none,0.0,0.0,0.0,0.0,stage26_primary_vx0p00,primary_mpc_wbc,after_mj_step,6,0.012,0.002,19,18,-0.000673411726617161,-2.2612509006968447e-05,0.28344086486481274,0.9999954768450227,-6.815785832275343e-05,0.002765052876156588,0.0011815780099280141,-0.07881931239079654,-0.0010478781296560363,-0.2184707040832819,0.27595286900952,0.5079802166794627,0.2895646070571727,-0.000673411726617161,-2.2612509006968447e-05,0.28344086486481274,-0.07881931239079655,-0.0010478781296560367,-0.21847070408329006
